"folder","category","created_at","created_by","source","tags","zip_sha256","has_manifest","has_checks","checks_valid","file_count","total_bytes","content_count","content_bytes","doc_count","doc_bytes","meta_count","meta_bytes","checksum_count","checksum_bytes","health","path","last_write","last_write_iso","last_write_ticks"
"scripts_cleanup_20250921_210001","scripts_cleanup","20250921_210001","","","","","False","False",,"1","6782","0","0","0","0","0","0","0","0","WARN_MISSING_MANIFEST","D:\CHECHA_CORE\C05\ARCHIVE\scripts_cleanup_20250921_210001","22.09.2025 03:30:03","2025-09-22T03:30:03.1405110+03:00","638941086031405110"
"scripts_cleanup_20250911_201214","scripts_cleanup","20250911_201214","","","","","False","True",,"3","4070","0","0","0","0","0","0","0","0","WARN_MISSING_MANIFEST","D:\CHECHA_CORE\C05\ARCHIVE\scripts_cleanup_20250911_201214","10.10.2025 03:30:02","2025-10-10T03:30:02.7716849+03:00","638956638027716849"
"scripts_cleanup_20251019_210001","scripts_cleanup","20251019_210001","","","","","False","False",,"1","3936","0","0","0","0","0","0","0","0","WARN_MISSING_MANIFEST","D:\CHECHA_CORE\C05\ARCHIVE\scripts_cleanup_20251019_210001","20.10.2025 09:10:32","2025-10-20T09:10:32.0017575+03:00","638965482320017575"
"scripts_cleanup_20251026_210001","scripts_cleanup","20251026_210001","","","","","False","False",,"1","7114","0","0","0","0","0","0","0","0","WARN_MISSING_MANIFEST","D:\CHECHA_CORE\C05\ARCHIVE\scripts_cleanup_20251026_210001","27.10.2025 08:42:24","2025-10-27T08:42:24.1907956+02:00","638971513441907956"
